,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0,Highlands,Fort William,Scotland,Fort William,Oxfordshire,Castle Leoch,Castle Leoch,Dundreggan,Germany,Leoch,Edinburgh,Fort William,Oxfordshire,Newcastle,Lallybroch,Ardagh,Highlands,Scotland,Sandringham,Bargrennan,Laoghaire,Laoghaire,Laoghaire,Lallybroch,Leoch,Leoch,Lallybroch,Lallybroch,Highlands,Wentworth,Wentworth,Ballagh,Scotland,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Scotland,Scotland,Edinburgh,Highlands,Scotland,Le Havre,Versailles,Scotland,Castle Leoch,Versailles,Le Havre,Rome,England,Paris,Paris,Paris,Paris,Sandringham,Paris,Sandringham,Leoch,Scotland,Bilbao,Bois de Boulogne,Fontainebleau,Paris,Bois de Boulogne,Spain,Le Havre,London,Lallybroch,Lallybroch,England,Lallybroch,France,Laoghaire,Cumberland,England,Preston,London,Holyroodhouse,Prestonpans,England,London,Lallybroch,Leoch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cumberland,Culloden,Highlands,Lallybroch,Lallybroch,Falkirk,Scotland,London,Culloden,Lallybroch,Ellesmere,France,Loch Ness,Scotland,England,Scotland,England,Bree,Scotland,Lallybroch,France,Edinburgh,Inverness,Scotland,Edinburgh,Edinburgh,Laoghaire,Lallybroch,Lallybroch,Lallybroch,Paris,Inverness,Bilbao,Lallybroch,India,Colonies,Paris,Tartary,Madeira,Edinburgh,Jamaica,Grand Turk,Hispaniola,Laoghaire,Laoghaire,Barbados,Scotland,Antigua,England,Sandringham,Edinburgh,Hispaniola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,New York,Boston,Scotland,Prestonpans,Boston,Wilmington,Wilmington,Laoghaire,Wilmington,Wilmington,River Run,Barra Meadows,Boston,Scotland,Scotland,Inverness,Boston,River Run,Scotland,Wilmington,Lynchburg,Cross Creek,Laoghaire,Wilmington,Oxford,Laoghaire,Colonies,Peterhead,Highlands,New Bern,Lallybroch,Ridge,Wilmington,Hispaniola,Culloden,Cross Creek,Charleston,River Run,Ridge,Jamestown,Virginia,River Run,Ridge,Wilmington,North Carolina,Ridge,River Run,Inverness,River Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cross Creek,Cross Creek,Paris,Hillsborough,Highlands,New Bern,Coigach,North Carolina,North Carolina,Highlands,New Bern,Wadesboro,Skye,Colonies,Boston,Bristol,Colonies,Boston,Pennsylvania,Stirling,Boston,Glasgow,Ridge,Brownsville,Brownsville,Wilmington,Brownsville,Charleston,Cross Creek,Scotland,Ridge,West Indies,New York,Keppoch,River Run,River Run,Cross Creek,Boston,Wilmington,Ireland,Ridge,England,Edinburgh,New Bern,Loch Lomond,New York,Scotland,New Bern,North Carolina,Leoch,New York,River Run,Scotland,Leoch,Ridge,Ridge,Scotland,Scotland,Wilmington,Brownsville,Boston,Cape Fear,Laoghaire,MA,Wilmington,Wilmington,Culloden,Ridge,Scotland,England,Carolina,Wilmington,River Run,River Run,Ridge,Vermont,,,,,,,,,,,,,,,,
5,Barbuda,New Bern,Edenton,Ridge,Paris,Boston,Boston,Cross Creek,Pigtown,River Run,Cross Creek,Surry County,Scotland,Inverness,Scotland,England,Salem,Boston,Scotland,Culloden,Cross Creek,Cross Creek,Carolina,Brownsville,Paris,France,America,Inverness,Massachusetts,Ridge,Ridge,Highlands,Hillsboro,Ridge,Laoghaire,Laoghaire,Ridge,Malva,Scotland,London,Halifax,Ridge,Ocracoke,Wilmington,Charlotte,Scotland,Ridge,England,Scotland,Ridge,Ridge,Ridge,Virginia,Edinburgh,River Run,Ridge,Bethabara,America,Paris,Boston,Concord,Connecticut,Lallybroch,England,Mecklenburg County,France,Ridge,Hillsboro,Cross Creek,Boston,Hillsboro,Wilmington,New Bern,Fort Johnston,New Bern,Boston,Ridge,Ridge,Edenton,New Hampshire,North Carolina,Scotland,Edenton,Ridge,Wilmington,Boston,Ireland,Ridge,County Sligo,America,Wilmington,Culloden
6,Halifax,Scotland,Scotland,Scotland,New York,Scotland,Inverness,Ridge,Scotland,New York,Boston,Ridge,Ellesmere,West Indies,Highlands,Nova Scotia,Highlands,Newport,Oxford,Lallybroch,Quebec City,Quebec,Connecticut,Highlands,Skye,Newport,New Haven,Quebec,Boston,Snaketown,Highlands,Canada,Scotland,Scotland,Turkey,London,New Hampshire,Scotland,Brittany,Balcarres,Quebec,Fort Ticonderoga,Ticonderoga,New Jersey,Boston,Paris,America,Edinburgh,Ticonderoga,Nova Scotia,Pennsylvania,Scotland,Scotland,Highlands,Highlands,Boston,Spain,Lallybroch,Highlands,America,Laoghaire,Lallybroch,Portugal,Edinburgh,Laoghaire,Scotland,Scotland,Laoghaire,Laoghaire,Paris,Virginia,New Jersey,England,Germantown,Scotland,,,,,,,,,,,,,,,,,
7,Washington,New York,Ridge,New Jersey,New York,Ellesmere,Valley Forge,Lallybroch,Devon,Highlands,Saratoga,Saratoga,America,Geneva,Lallybroch,Paris,Highlands,Lallybroch,Fort William,Inverness,Highlands,Thurso,Lochaber,Glasgow,Britain,Lallybroch,Boston,Ridge,Bois de Boulogne,Quebec City,Morristown,Washington,Prestonpans,New York,Freehold,Washington,Washington,Washington,Washington,England,Middletown,Englishtown,Washington,Washington,New Jersey,Ridge,Dismal Town,Valley Forge,Freehold,Edinburgh,Scotland,Castle Leoch,Scotland,Scotland,Northumbria,Inverness,Highlands,Lallybroch,New York,Saratoga,Ridge,New York,Ridge,New Jersey,England,Savannah,Wilmington,New York,North Carolina,Boston,Highlands,Sunbury,Savannah,Savannah,New York,Savannah,Charleston,Ridge,Brest,Ridge,Savannah,Culloden,,,,,,,,,,
